,1/13/2021
Timestamp,cbt [mC]
1610549475,37034
1610549476,37034
1610549477,37029
1610549478,37029
1610549479,37029
1610549480,37029
1610549481,37029
1610549482,37029
1610549483,37029
1610549484,37029
1610549485,37029
1610549486,37029
1610549487,37029
1610549488,37029
1610549489,37029
1610549490,37029
1610549491,37029
1610549492,37029
1610549493,37029
1610549494,37029
1610549495,37029
1610549496,37029
1610549497,37029
1610549498,37029
1610549499,37029
1610549500,37029
1610549501,37029
1610549502,37029
1610549503,37029
1610549504,37029
1610549505,37029
1610549506,37029
1610549507,37029
1610549508,37029
1610549509,37029
1610549510,37029
1610549511,37029
1610549512,37029
1610549513,37029
1610549514,37029
1610549515,37029
1610549516,37029
1610549517,37029
1610549518,37029
1610549519,37029
1610549520,37029
1610549521,37028
1610549522,37028
1610549523,37028
1610549524,37028
1610549525,37028
1610549526,37028
1610549527,37029
1610549528,37029
1610549529,37029
1610549530,37029
1610549531,37029
1610549532,37029
1610549533,37029
1610549534,37029
1610549535,37029
1610549536,37029
1610549537,37024
1610549538,37024
